0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.725951499,0.725951499,0.725951499,0.725951499,0.725951499,0.725951499,0.725951499,0.784061489,0.784061489,0.725951499,0.725951499,0.725951499,0.725951499,0.788224035,0.788224035,0.788224035,0.788224035
0.717396752,0.717396752,0.717396752,0.717396752,0.717396752,0.717396752,0.717396752,0.788003589,0.788003589,0.717396752,0.717396752,0.717396752,0.717396752,0.789287465,0.789287465,0.789287465,0.789287465
0.711253378,0.711253378,0.711253378,0.711253378,0.711253378,0.711253378,0.711253378,0.791502341,0.791502341,0.711253378,0.711253378,0.711253378,0.711253378,0.784333274,0.784333274,0.784333274,0.784333274
0.700946871,0.700946871,0.700946871,0.700946871,0.700946871,0.700946871,0.700946871,0.793881743,0.793881743,0.700946871,0.700946871,0.700946871,0.700946871,0.7643608,0.7643608,0.7643608,0.7643608
0.679302168,0.679302168,0.679302168,0.679302168,0.679302168,0.679302168,0.679302168,0.792883804,0.792883804,0.679302168,0.679302168,0.679302168,0.679302168,0.741558558,0.741558558,0.741558558,0.741558558
0.630278256,0.630278256,0.630278256,0.630278256,0.630278256,0.630278256,0.630278256,0.786521835,0.786521835,0.630278256,0.630278256,0.630278256,0.630278256,0.714492497,0.714492497,0.714492497,0.714492497
0.539996488,0.539996488,0.539996488,0.539996488,0.539996488,0.539996488,0.539996488,0.767321194,0.767321194,0.539996488,0.539996488,0.539996488,0.539996488,0.659340512,0.659340512,0.659340512,0.659340512
0.504784216,0.504784216,0.504784216,0.504784216,0.504784216,0.504784216,0.504784216,0.763417829,0.763417829,0.504784216,0.504784216,0.504784216,0.504784216,0.65702613,0.65702613,0.65702613,0.65702613
0.484934245,0.484934245,0.484934245,0.484934245,0.484934245,0.484934245,0.484934245,0.759449784,0.759449784,0.484934245,0.484934245,0.484934245,0.484934245,0.699866921,0.699866921,0.699866921,0.699866921
0.445988806,0.445988806,0.445988806,0.445988806,0.445988806,0.445988806,0.445988806,0.752274445,0.752274445,0.445988806,0.445988806,0.445988806,0.445988806,0.672775536,0.672775536,0.672775536,0.672775536
0.400365062,0.400365062,0.400365062,0.400365062,0.400365062,0.400365062,0.400365062,0.743268244,0.743268244,0.400365062,0.400365062,0.400365062,0.400365062,0.618824338,0.618824338,0.618824338,0.618824338
